METADATA,,,,,
title.en,List of Data Network Identification Codes (DNIC),,,,
title.es,Lista de códigos de identificación de red de datos (CIRD),,,,
title.fr,Liste des codes d'identification de réseau pour données (CIRD),,,,
country_or_area.en,Country/Area,,,,
dnic_number.en,DNIC No.,,,,
network_name.en,Name of network to which a DNIC is allocated,,,,
country_or_area.fr,Pays/Zone,,,,
dnic_number.fr,CIRD N°,,,,
network_name.fr,Nom du réseau auquel un CIRD est attribué,,,,
country_or_area.es,País/Zona,,,,
dnic_number.es,CIRD N.°,,,,
network_name.es,Nombre de la red a la cual se ha atribuido el CIRD,,,,
,,,,,
DATA,,,,,
LEBANON,LÍBANO,LIBAN,415 5,Réseau public de transmission de données par paquets,
LITHUANIA,LITUANIA,LITUANIE,246 2,Vilnius DATAPAK,
LITHUANIA,LITUANIA,LITUANIE,246 3,Omnitel,
LUXEMBOURG,LUXEMBURGO,LUXEMBOURG ,270 2,CODENET,
LUXEMBOURG,LUXEMBURGO,LUXEMBOURG ,270 3,RAPNET (Regional ATS Packet Switched Network),
LUXEMBOURG,LUXEMBURGO,LUXEMBOURG ,270 4,LUXPAC (réseau de transmission de données à commutation par paquets),
LUXEMBOURG,LUXEMBURGO,LUXEMBOURG ,270 5,LUXNET (interconnection entre le réseau public de transmission de données ,
LUXEMBOURG,LUXEMBURGO,LUXEMBOURG ,,   et d'autres réseaux publics luxembourgeois),
LUXEMBOURG,LUXEMBURGO,LUXEMBOURG ,270 9,LUXPAC (accès X.28 et  X.32 au réseau téléphonique commuté),
"MACAU, CHINA","MACAO, CHINA","MACAO, CHINE",455 0,MACAUPAC,
MADAGASCAR,MADAGASCAR,MADAGASCAR,646 0,INFOPAC,
MALAYSIA,MALASIA,MALAISIE,502 0,COINS Global Frame Relay,
MALAYSIA,MALASIA,MALAISIE,502 1,Malaysian Public Packet Switched Public Data Network (MAYPAC),
MALAYSIA,MALASIA,MALAISIE,502 3,Corporate Information Networks,
MALAYSIA,MALASIA,MALAISIE,502 4,ACASIA-ASEAN Managed Overlay Network,
MALAYSIA,MALASIA,MALAISIE,502 6,Mutiara Frame Relay Network,
MALAYSIA,MALASIA,MALAISIE,502 7,Mobile Public Data Network (WAVENET),
MALAYSIA,MALASIA,MALAISIE,502 8,Global Management Data Services (GMDS),
MALDIVES,MALDIVAS,MALDIVES,472 0,DATANET (Maldives Packet Switching Service),
MALTA,MALTA,MALTE,278 2,MALTAPAC (Packet Switching Service),
MEXICO,MÉXICO,MEXIQUE,334 0,TELEPAC,
MEXICO,MÉXICO,MEXIQUE,334 1,UNITET,
MEXICO,MÉXICO,MEXIQUE,334 2,IUSANET,
MEXICO,MÉXICO,MEXIQUE,334 3,TEI,
MEXICO,MÉXICO,MEXIQUE,334 4,OPTEL,
MEXICO,MÉXICO,MEXIQUE,334 5,TELNORPAC,
MEXICO,MÉXICO,MEXIQUE,334 6,TYMPAQ,
MEXICO,MÉXICO,MEXIQUE,334 7,SINFRARED,
MEXICO,MÉXICO,MEXIQUE,334 8,INTERVAN,
MEXICO,MÉXICO,MEXIQUE,334 9,INTELCOMNET,
MEXICO,MÉXICO,MEXIQUE,335 0,"AVANTEL, S.A.",
MEXICO,MÉXICO,MEXIQUE,335 1,"ALESTRA, S. DE R.L. DE C.V.",
MICRONESIA,MICRONESIA,MICRONÉSIE,550 1,FSMTC Packet Switched Network,
MOROCCO,MARRUECOS,MAROC,604 1,MAGHRIPAC,
MOROCCO,MARRUECOS,MAROC,604 2,MAGHRIPAC X.32,
MOROCCO,MARRUECOS,MAROC,604 9,MAGHRIPAC RTC PAD,
MOZAMBIQUE,MOZAMBIQUE,MOZAMBIQUE,643 5,COMPAC (Packet Switching Public Data Network),
MYANMAR,MYANMAR,Myanmar,414 1,MYANMARP,
NAMIBIA,NAMIBIA,NAMIBIE,649 0,SWANET (Public Packet Switched Network),
NEPAL,NEPAL,NÉPAL,429 0,NEPPAK (Nepal Packet Switched Public Data Network),
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,204 1,Datanet 1 X.25 access,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,204 4,Unisource/Unidata,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,204 6,Unisource/VPNS,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 2,NV CasTel,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 3,Global One Communications BV,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 5,Rabofacet BV,
NETHERLANDS,PAÍSES BAJOS,PAYS-BAS,205 7,Trionet v.o.f.,
NEW CALEDONIA,NUEVA CALEDONIA,NOUVELLE-CALÉDONIE,546 0,Transpac – Nouvelle Calédonie et opérateur public local,
NEW ZEALAND,NUEVA ZELANDIA,NOUVELLE-ZÉLANDE,530 1,PACNET Packet Switching Network,
NICARAGUA,NICARAGUA,NICARAGUA,710 0,NicaPac,
NORWAY,NORUEGA,NORVÈGE,242 1,"DATEX (Circuit Switched Network, CSDN)",
NORWAY,NORUEGA,NORVÈGE,242 2,"DATAPAK (Packet Switched Network, PSDN)",
NORWAY,NORUEGA,NORVÈGE,242 9,"Shared by private data networks, for PNIC allocation",
PAKISTAN,PAKISTÁN,PAKISTAN,410 1,TRANSLINK,
PANAMA,PANAMÁ,PANAMA,714 1,Red de transmisión de datos con conmutación de paquetes (INTELPAQ),
PANAMA,PANAMÁ,PANAMA,714 4,CWP DATA NETWORK,
PARAGUAY,PARAGUAY,PARAGUAY,744 0,PARABAN,
PARAGUAY,PARAGUAY,PARAGUAY,744 7,ANTELPAC,
PARAGUAY,PARAGUAY,PARAGUAY,744 8,PARAPAQ,
PERU,PERÚ,PÉROU,716 0,MEGANET (PERUNET),
PERU,PERÚ,PÉROU,716 1,MEGANET,
PHILIPPINES,FILIPINAS,PHILIPPINES,515 1,"CWI DATANET – Capitol Wireless, Inc. (CAPWIRE)",
PHILIPPINES,FILIPINAS,PHILIPPINES,515 2,"Philippine Global Communications, Inc. (PHILCOM)",
PHILIPPINES,FILIPINAS,PHILIPPINES,515 4,Globe-Mackay Cable and Radio Corp. (GMCR),
PHILIPPINES,FILIPINAS,PHILIPPINES,515 6,"Eastern Telecommunications Philippines, Inc. (ETPI)",
PHILIPPINES,FILIPINAS,PHILIPPINES,515 7,DATAPAC,
POLAND,POLONIA,POLOGNE,260 1,POLPAK,
POLAND,POLONIA,POLOGNE,260 3,EXATEL,
POLAND,POLONIA,POLOGNE,260 4,POLPAK-T,
POLAND,POLONIA,POLOGNE,260 621,DATACOM,
POLAND,POLONIA,POLOGNE,260 622,MNI,
POLAND,POLONIA,POLOGNE,260 6301,INTERNET GROUP,
POLAND,POLONIA,POLOGNE,260 6303,INTERNET TECHNOLOGIES,
POLAND,POLONIA,POLOGNE,260 6304,INTERTELE,
POLAND,POLONIA,POLOGNE,260 641,PAGI,
POLAND,POLONIA,POLOGNE,260 642,CROWLEY DATA POLAND,
