METADATA,,,,,,,,,,,,,
title.en,List of terrestrial trunk radio mobile country codes,,,,,,,,,,,,
title.fr,LISTE DES INDICATIFS DE PAYS POUR LE SERVICE MOBILE DE RADIOCOMMUNICATION DE TERRE À RESSOURCES PARTAGÉES,,,,,,,,,,,,
title.es,LISTA DE INDICATIVOS DE PAÍS PARA EL SERVICIO MÓVIL DE RADIOCOMUNICACIÓN CON CONCENTRACIÓN DE ENLACES TERRENALES v,,,,,,,,,,,,
title.ru,СПИСОК КОДОВ СТРАНЫ ДЛЯ ПОДВИЖНОЙ СВЯЗИ В СИСТЕМЕ НАЗЕМНОЙ ТРАНКИНГОВОЙ РАДИОСВЯЗИ,,,,,,,,,,,,
title.zh,地面集群无线电移动国家代码列表,,,,,,,,,,,,
title.ar,قائمة بالرموز الدليلية للبلدان للاتصالات الراديوية المتنقلة للأرض للاتصال البعيد ,,,,,,,,,,,,
locale.tmcc_code.en,Code (TMCC),,,,,,,,,,,,
locale.country_or_area.en,Country or Geographical Area,,,,,,,,,,,,
locale.note.en,Note,,,,,,,,,,,,
locale.reserved.en,Reserved,,,,,,,,,,,,
locale.tmcc_code.fr,Indicatif (TMCC),,,,,,,,,,,,
locale.country_or_area.fr,Pays ou zone géographique,,,,,,,,,,,,
locale.note.fr,Note,,,,,,,,,,,,
locale.reserved.fr,Réservé,,,,,,,,,,,,
locale.tmcc_code.es,Indicativo(TMCC),,,,,,,,,,,,
locale.country_or_area.es,País o zona geográfica,,,,,,,,,,,,
locale.note.es,Nota,,,,,,,,,,,,
locale.reserved.es,Reservado,,,,,,,,,,,,
locale.tmcc_code.ru,Код (TMCC),,,,,,,,,,,,
locale.country_or_area.ru,Страна или географическая зона ,,,,,,,,,,,,
365,Anguilla,Anguilla,Anguila,Ангилья,安圭拉岛,أنغويلا,,,,,,,
366,Dominica (Commonwealth of),Dominique (Commonwealth de la),Dominica (Commonwealth de),Содружество Доминики,多米尼克国,كومنولث دومينيكا,,,,,,,
368,Cuba,Cuba,Cuba,Куба,古巴,كوبا,,,,,,,
370,Dominican Republic,Dominicaine (République),Dominicana (República),Доминиканская Республика,多米尼加共和国,الجمهورية الدومينيكية,,,,,,,
372,Haiti (Republic of),Haïti (République d'),Haití (República de),Гаити (Республика),海地（共和国）,جمهورية هايتي,,,,,,,
374,Trinidad and Tobago,Trinité-et-Tobago,Trinidad y Tabago,Тринидад и Тобаго,特立尼达和多巴哥,ترينيداد وتوباغو,,,,,,,
376,Turks and Caicos Islands,Turks-et-Caïcos (Iles),Turcas y Caicos (Islas),Острова Теркс и Кайкос,特克斯和凯科斯群岛,جزر تركس وكايكوس,,,,,,,
400,Azerbaijan (Republic of),Azerbaïdjan (République d'),Azerbaiyán (República de),Азербайджанская Республика,阿塞拜疆 （共和国）,جمهورية أذربيجان,,,,,,,
401,Kazakhstan (Republic of),Kazakhstan (République du),Kazajstán (República de),Казахстан (Республика),哈萨克斯坦（共和国）,جمهورية كازاخستان,,,,,,,
402,Bhutan (Kingdom of),Bhoutan (Royaume du),Bhután (Reino de),Бутан (Королевство) ,不丹（王国）,مملكة بوتان,,,,,,,
404,India (Republic of),Inde (République de l'),India (República de la),Индия (Республика),印度（共和国）,جمهورية الهند,,,,,,,
405,India (Republic of),Inde (République de l'),India (República de la),Индия (Республика),印度（共和国）,جمهورية الهند,,,,,,,
406,India (Republic of),Inde (République de l'),India (República de la),Индия (Республика),印度（共和国）,جمهورية الهند,,,,,,,
