Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Pay tone,Tonalité de paiement - ,Tono de pago - ,622,0.136 on 0.136 off,,,,pay
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,440+480,2.0 on 4.0 off,,,,ringing
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,…,announcement,,,,special_information
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,480,1x(0.6 on 10.0 off),,,,call_waiting
Argentine Republic,Argentine (République),Argentina (República),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425,0.3 on 0.2 off,,,,busy
Argentine Republic,Argentine (République),Argentina (República),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,425,0.3 on 0.4 off,,,,congestion
Argentine Republic,Argentine (République),Argentina (República),Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,425,continuous,,,,dial
Argentine Republic,Argentine (République),Argentina (República),End of three party service tone,Tonalité de fin de service triangulaire - ,Tono de fin de servicio de tripartito - ,950/1400/1800,1x(3x0.33 on),,,,misc
Argentine Republic,Argentine (République),Argentina (República),Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,425,1.0 on 4.0 off,,,,ringing
Argentine Republic,Argentine (République),Argentina (República),Service activated tone,Tonalité de service activité - ,Tono de servicio activado - ,425,1.0 on 0.25 off,,,,misc
Argentine Republic,Argentine (République),Argentina (República),Warning tone (operator intervening),Tonalité d'avertissement - intervention d’opératrice,Tono de aviso - intervención de la operadora   ,1400,5x0.1 on 1.9 off,,,,warning
Argentine Republic,Argentine (République),Argentina (República),Waiting tone,Tonalité d'attente - ,Tono de espera - ,425,0.4 on 0.2 off 0.4 on 4.0 off,,,,waiting
Argentine Republic,Argentine (République),Argentina (República),Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,425,0.3 on 10.0 off,,,,call_waiting
Aruba,Aruba,Aruba,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425,0.5 on 0.5 off,,,,busy
Aruba,Aruba,Aruba,Confirmation tone,Tonalité de confirmation - ,Tono de confirmación - ,425,continuous,,,,confirmation
Aruba,Aruba,Aruba,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,425,0.25 on 0.25 off,,,,congestion
Aruba,Aruba,Aruba,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,425,continuous,,,,dial
Aruba,Aruba,Aruba,Refusal tone,Tonalité de refus - ,Tono de rechazo - ,425,0.06 on 0.06 off,,,,refusal
Aruba,Aruba,Aruba,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,425,1.0 on 4.0 off,,,,ringing
Aruba,Aruba,Aruba,Special information tone,Tonalité spéciale d'information - ,Tono especial de información - ,950/1400/1800,3x0.33 on 1.0 off,,,,special_information
Aruba,Aruba,Aruba,Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,425,0.2 on 0.2 off 0.2 on 4.4 off,,,,call_waiting
Ascension,Ascension,Ascensión,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,400,0.384 on 0.384 off,,,,busy
Ascension,Ascension,Ascensión,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,400,continuous,,,,congestion
Ascension,Ascension,Ascensión,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,350+450,continuous,,,,dial
Ascension,Ascension,Ascensión,Number unobtainable tone,Tonalité d'abonné inaccessible - ,Tono de abonado inaccesible - ,400,continuous,,,,number_unobtainable
Ascension,Ascension,Ascensión,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,400+450,0.384 on 0.192 off 0.384 on 2.016 off,,,,ringing
Ascension,Ascension,Ascensión,Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,1400,1x(0.384 on),,,,call_waiting
Australia,Australie,Australia,Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425//400,0.375 on 0.375 off,,,,busy
Australia,Australie,Australia,Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,425//400,0.375 on 0.375 off,,,,congestion
Australia,Australie,Australia,Conference tone,Tonalité de conférence - ,Tono de conferencia - ,425//525//1400,1.0 on 15.0 off 0.36 on 15.0 off,,,,conference
Australia,Australie,Australia,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,425x25//400+425+450//400+425//425,continuous,,,,dial
Australia,Australie,Australia,Facilities tone,Tonalité de service complémentaire - ,Tono de facilidades - ,425,continuous,,,,misc
Australia,Australie,Australia,Intrusion tone,Tonalité d'intrusion - ,Tono de intervención - ,425//525,continuous,,,,intrusion
Australia,Australie,Australia,Number unobtainable tone,Tonalité d'abonné inaccessible - ,Tono de abonado inaccesible - ,425//400,2.5 on 0.5 off,,,,number_unobtainable
Australia,Australie,Australia,Ringing tone,Tonalité de retour d'appel - ,Tono de llamada - ,400x425//400+425+450//400+450,0.4 on 0.2 off 0.4 on 2.0 off,,,,ringing
Australia,Australie,Australia,Call waiting tone,Tonalité d'appel en attente - ,Tono de indicación de llamada en espera - ,425,0.2 on 0.2 off 0.2 on 4.4 off,,,,call_waiting
Austria,Autriche,Austria,Busy tone I ,Tonalité d'occupation - I ,Tono de ocupado - I ,420,0.4 on 0.4 off,,,,busy
Austria,Autriche,Austria,Busy tone II,Tonalité d'occupation - II,Tono de ocupado - II,450,0.3 on 0.3 off,Analogue exchanges.,,,busy
Austria,Autriche,Austria,Congestion tone I ,Tonalité d'encombrement - I ,Tono de congestión - I ,420,0.2 on 0.2 off,,,,congestion
Austria,Autriche,Austria,Congestion tone II,Tonalité d'encombrement - II,Tono de congestión - II,450,0.3 on 0.3 off,Analogue exchanges.,,,congestion
Austria,Autriche,Austria,Dial tone,Tonalité de numérotation - ,Tono de invitación a marcar - ,420//450,continuous,,,,dial
Austria,Autriche,Austria,Recall dial tone,Tonalité d'invitation à répéter l'appel - ,Tono de repetición de invitación a marcar - ,420,continuous,,,,recall
Austria,Autriche,Austria,Special dial tone,Tonalité de numérotation spéciale - ,Tono especial de invitación a marcar - ,380+420,continuous,,,,special_dial
Austria,Autriche,Austria,Negative indication tone,Tonalité d'indication negative - ,Tono de indicación negativo - ,380+420,0.4 on 0.4 off,,,,negative_indication
Austria,Autriche,Austria,Number unobtainable tone,Tonalité d'abonné inaccessible - ,Tono de abonado inaccesible - ,950/1400/1800,3x0.33 on 1.0 off,,,,number_unobtainable
Austria,Autriche,Austria,Pay tone,Tonalité de paiement - ,Tono de pago - ,852,1.5 on,,,,pay
Austria,Autriche,Austria,Positive indication tone,Tonalité d'indication positive - ,Tono de indicación positivo - ,380+420,1.0 on 5.0 off,,,,positive_indication
Austria,Autriche,Austria,Payphone recognition tone,Tonalité d'identification de publiphone - ,Tono de identificación de teléfono de previo pago -,1633/1336,0.2 on 0.2 off 0.2 on 2.0 off,,,,payphone_recognition
