METADATA,,,,,,,,,,,,
title.en,List of Signalling Area/Network Codes (SANC) (Complement to Recommendation ITU-T Q.708 (03/99)),,,,,,,,,,,
title.fr,Liste des codes de zone/réseau sémaphore (SANC) (Complément à la Recommandation UIT-T Q.708 (03/1999)),,,,,,,,,,,
title.es,Lista de códigos de zona/red de señalización (SANC) (Complemento de la Recomendación UIT-T Q.708 (03/1999)),,,,,,,,,,,
title.ru,Список зоновых/сетевых кодов сигнализации (SANC) (дополнение к Рекомендации МСЭ-Т Q.708 (03/1999)),,,,,,,,,,,
title.zh,信令区域/网络编码（SANC）的列表（ITU-T Q.708建议书（03/99）补遗）,,,,,,,,,,,
title.ar,قائمة بالرموز الدليلية لمناطق/شبكات التشوير (SANC) (تكملة للتوصية ITU-T Q.708 (99/03)),,,,,,,,,,,
locale.code.en,Code,,,,,,,,,,,
locale.area_or_network.en,Geographical Area or Signalling Network ,,,,,,,,,,,
locale.code.fr,Code,,,,,,,,,,,
locale.area_or_network.fr,Zone géographique ou réseau sémaphore – ordre numérique,,,,,,,,,,,
locale.code.es,Código,,,,,,,,,,,
locale.area_or_network.es,Zona geográfica o red de señalización – orden numérico,,,,,,,,,,,
locale.code.ru,Код,,,,,,,,,,,
locale.area_or_network.ru,Географическая зона или сеть сигнализации – нумерационный порядок,,,,,,,,,,,
locale.code.zh,代码,,,,,,,,,,,
locale.area_or_network.zh,地理区域或信令网络 – 按数字排序,,,,,,,,,,,
locale.code.ar,الرمز,,,,,,,,,,,
locale.area_or_network.ar,المنطقة الجغرافية أو شبكة التشوير - الترتيب العددي,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DATA,,,,,,,,,,,,
code,area_or_network.en,area_or_network.fr,area_or_network.es,area_or_network.ru,area_or_network.zh,area_or_network.ar,note.en,note.fr,note.es,note.ru,note.zh,note.ar
2-110,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-111,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-112,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-113,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-114,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-115,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-116,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-117,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-118,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-119,Russian Federation,Russie (Fédération de),Rusia (Federación de),Российская Федерация,俄罗斯联邦,الاتحاد الروسي,,,,,,
2-120,Poland (Republic of),Pologne (République de),Polonia (República de),Польша (Республика),波兰（共和国）,جمهورية بولندا,,,,,,
2-121,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-122,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-123,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-124,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-125,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-126,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-127,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-128,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-129,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-130,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-131,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-132,Gibraltar,Gibraltar,Gibraltar,Гибралтар,直布罗陀,جبل طارق,,,,,,
2-133,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-134,Poland (Republic of),Pologne (République de),Polonia (República de),Польша (Республика),波兰（共和国）,جمهورية بولندا,,,,,,
2-135,Luxembourg,Luxembourg,Luxemburgo,Люксембург,卢森堡,لكسمبرغ,,,,,,
2-136,Portugal,Portugal,Portugal,Португалия,葡萄牙,البرتغال,,,,,,
2-137,Portugal,Portugal,Portugal,Португалия,葡萄牙,البرتغال,,,,,,
2-138,Portugal,Portugal,Portugal,Португалия,葡萄牙,البرتغال,,,,,,
2-139,Portugal,Portugal,Portugal,Португалия,葡萄牙,البرتغال,,,,,,
2-140,Luxembourg,Luxembourg,Luxemburgo,Люксембург,卢森堡,لكسمبرغ,,,,,,
2-141,Luxembourg,Luxembourg,Luxemburgo,Люксембург,卢森堡,لكسمبرغ,,,,,,
2-142,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-143,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-144,Ireland,Irlande,Irlanda,Ирландия,爱尔兰,أيرلندا,,,,,,
2-145,Ireland,Irlande,Irlanda,Ирландия,爱尔兰,أيرلندا,,,,,,
2-146,Ireland,Irlande,Irlanda,Ирландия,爱尔兰,أيرلندا,,,,,,
2-147,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,
2-148,Iceland,Islande,Islandia,Исландия,冰岛,أيسلندا,,,,,,
2-149,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-150,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-151,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-152,Albania (Republic of),Albanie (République d'),Albania (República de),Албания (Республика),阿尔巴尼亚（共和国）,جمهورية ألبانيا,,,,,,
2-153,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,
